央卫视地方频道,#genre#
CCTV-12 社会与法,http://192.168.1.211:4022/udp/233.50.201.123:5140
CCTV-13 新闻,http://192.168.1.211:4022/udp/233.50.201.246:5140
CCTV-14 少儿,http://192.168.1.211:4022/udp/233.50.201.124:5140
CCTV-15 音乐,http://192.168.1.211:4022/udp/233.50.201.15:5140
CCTV-16 奥林匹克,http://192.168.1.211:4022/udp/233.50.201.192:5140
CCTV-16 4K奥林匹克,http://192.168.1.211:4022/udp/233.50.201.63:5140
CCTV-17 农业农村,http://192.168.1.211:4022/udp/233.50.200.113:5140                         
SiTV 欢笑剧场,http://192.168.1.211:4022/udp/233.50.200.229:5140
SiTV 法治天地,http://192.168.1.211:4022/udp/233.50.200.120:5140
SiTV 乐游,http://192.168.1.211:4022/udp/233.50.200.148:5140
SiTV 动漫秀场,http://192.168.1.211:4022/udp/233.50.201.184:5140
SiTV 游戏风云,http://192.168.1.211:4022/udp/233.50.200.14:5140
SiTV 生活时尚,http://192.168.1.211:4022/udp/233.50.200.15:5140
SiTV 都市剧场,http://192.168.1.211:4022/udp/233.50.200.11:5140
SiTV 金色学堂,http://192.168.1.211:4022/udp/233.50.200.122:5140
SiTV 第一财经,http://192.168.1.211:4022/udp/233.50.200.125:5140





























































